xflr5 v6.61

Plane name :        4
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.800     0.000  -0.293530   0.011731   0.007116   0.018847  -0.000000   0.000000   0.073841  -0.000000  -0.000000   50.0000     0.2011
   -5.600     0.000  -0.284233   0.011001   0.007070   0.018071  -0.000000   0.000000   0.071581  -0.000000  -0.000000   50.0000     0.2011
   -5.500     0.000  -0.279580   0.010645   0.007047   0.017692  -0.000000   0.000000   0.070449  -0.000000  -0.000000   50.0000     0.2011
   -5.400     0.000  -0.274924   0.010294   0.007024   0.017318  -0.000000   0.000000   0.069316  -0.000000  -0.000000   50.0000     0.2011
   -5.000     0.000  -0.256276   0.008949   0.006933   0.015882  -0.000000   0.000000   0.064776  -0.000000  -0.000000   50.0000     0.2012
   -4.500     0.000  -0.232910   0.007398   0.006822   0.014220  -0.000000   0.000000   0.059080  -0.000000  -0.000000   50.0000     0.2013
   -4.000     0.000  -0.209488   0.005993   0.006725   0.012719  -0.000000   0.000000   0.053363  -0.000000  -0.000000   50.0000     0.2014
   -3.500     0.000  -0.186016   0.004735   0.006638   0.011374  -0.000000   0.000000   0.047627  -0.000000  -0.000000   50.0000     0.2017
   -3.000     0.000  -0.162500   0.003625   0.006557   0.010182  -0.000000   0.000000   0.041873  -0.000000  -0.000000   50.0000     0.2020
   -2.500     0.000  -0.138944   0.002663   0.006483   0.009146  -0.000000   0.000000   0.036103  -0.000000  -0.000000   50.0000     0.2025
   -2.000     0.000  -0.115355   0.001850   0.006428   0.008278  -0.000000   0.000000   0.030319  -0.000000  -0.000000   50.0000     0.2033
   -1.500     0.000  -0.091738   0.001188   0.006380   0.007568   0.000000   0.000000   0.024523  -0.000000  -0.000000   50.0000     0.2044
   -1.000     0.000  -0.068099   0.000676   0.006342   0.007018   0.000000   0.000000   0.018715  -0.000000  -0.000000   50.0000     0.2065
   -0.500     0.000  -0.044445   0.000314   0.006313   0.006627   0.000000   0.000000   0.012898  -0.000000  -0.000000   50.0000     0.2107
    0.000     0.000  -0.020780   0.000104   0.006302   0.006406   0.000000   0.000000   0.007074  -0.000000  -0.000000   50.0000     0.2248
    0.500     0.000   0.002890   0.000045   0.006298   0.006343  -0.000000  -0.000000   0.001244  -0.000000   0.000000   50.0000     0.0088
    1.000     0.000   0.026559   0.000137   0.006299   0.006436  -0.000000  -0.000000  -0.004591  -0.000000   0.000000   50.0000     0.1778
    1.500     0.000   0.050220   0.000381   0.006310   0.006690  -0.000000  -0.000000  -0.010428  -0.000000  -0.000000   50.0000     0.1875
    2.000     0.000   0.073869   0.000775   0.006338   0.007114  -0.000000  -0.000000  -0.016266  -0.000000  -0.000000   50.0000     0.1910
    2.500     0.000   0.097500   0.001320   0.006375   0.007696  -0.000000  -0.000000  -0.022103  -0.000000  -0.000000   50.0000     0.1929
    3.000     0.000   0.121107   0.002016   0.006419   0.008435  -0.000000  -0.000000  -0.027937  -0.000000  -0.000000   50.0000     0.1940
    3.500     0.000   0.144683   0.002861   0.006477   0.009338  -0.000000  -0.000000  -0.033767  -0.000000  -0.000000   50.0000     0.1948
    4.000     0.000   0.168224   0.003855   0.006550   0.010405  -0.000000  -0.000000  -0.039591  -0.000000  -0.000000   50.0000     0.1954
    4.500     0.000   0.191724   0.004997   0.006630   0.011627  -0.000000  -0.000000  -0.045408  -0.000000  -0.000000   50.0000     0.1959
    5.000     0.000   0.215177   0.006287   0.006716   0.013003  -0.000000  -0.000000  -0.051215  -0.000000  -0.000000   50.0000     0.1963
    5.500     0.000   0.238577   0.007723   0.006817   0.014540  -0.000000  -0.000000  -0.057011  -0.000000  -0.000000   50.0000     0.1967
    6.000     0.000   0.261919   0.009304   0.006928   0.016232  -0.000000  -0.000000  -0.062795  -0.000000  -0.000000   50.0000     0.1970
